uuid,kode_identitas,kabkot
cfd95fd4-12c0-4ad8-aebd-b7b13ddac7dc,"7201050008200100 - DUMMY - 1",7201
dc439540-aba3-4351-a0c5-c860a3c78d3a,"7201050010200100 - DUMMY - 1",7201
f84c47f8-9bc8-4d04-a7ce-b55712ee9f3e,"7201051001200100 - DUMMY - 1",7201
6dc509db-b877-4d12-9c70-a828e6a07175,"7201060015100100 - DUMMY - 1",7201
81b8a407-0b76-43a1-a6ea-b0ae2b14f705,"7201062004200100 - DUMMY - 1",7201
a08dfed3-b337-4249-8bff-ad69276a7459,"7201061008200100 - DUMMY - 1",7201
6e98b88b-c864-472e-8781-8b468e5b3e72,"7201070013200100 - DUMMY - 1",7201
8a8f777a-2e76-4496-a2d5-250938ede88d,"7201060010100100 - DUMMY - 1",7201
29be0f27-18d9-4854-8276-352c0e8d163b,"7201070016200100 - DUMMY - 1",7201
71486596-dfad-4240-9e09-d9cf7636e120,"7201071002200100 - DUMMY - 1",7201
beec29cf-359b-442b-86c9-efafcaab74fd,"7201071009200100 - DUMMY - 1",7201
5c48ede3-992b-4935-bb17-64358f23cd2e,"7201062002200100 - DUMMY - 1",7201
4c21f6f5-89a1-4d91-b06f-8c2d339221cc,"7201060007100100 - DUMMY - 1",7201
32c1fed7-8cc5-49af-9219-6873ca523ff8,"7201050006200100 - DUMMY - 1",7201
52695e09-df89-4b9c-937f-5aea03d21a3c,"7201031008100100 - DUMMY - 1",7201
0e0d86e4-0af0-4963-8e01-5d3388f32393,"7201050015100100 - DUMMY - 1",7201
26857a10-4a23-4ee1-a857-a95bd576b06c,"7201061006200100 - DUMMY - 1",7201
484ccacb-4814-4edb-807c-06b623b9be58,"7201060005200100 - DUMMY - 1",7201
39226352-0b59-49de-8db7-7747c4a9ed7a,"7201062011200100 - DUMMY - 1",7201
1f12331c-43d0-48bc-a0f6-4a2cdcb4d92c,"7201030016100200 - DUMMY - 1",7201
a4770c17-69aa-4c55-8c58-f0004cd10455,"7201030016100100 - DUMMY - 1",7201
d3777d31-051b-4bed-8275-5e865a6edffb,"7201050001200100 - DUMMY - 1",7201
6feb939e-3a82-421f-be0d-f62ebebdf3c0,"7201061001200100 - DUMMY - 1",7201
94f476cc-2eb3-48e9-9070-8163ad3a2958,"7201042003100100 - DUMMY - 1",7201
acbde9ce-0603-4abc-88e0-a61c405b1af1,"7201060002100100 - DUMMY - 1",7201
ec88bd82-2d76-4012-8dd6-c9500b784cb1,"7201062007200100 - DUMMY - 1",7201
aa0f63de-2d35-4668-ac70-ec12786538c0,"7201060013100100 - DUMMY - 1",7201
66182f73-1b3b-4bd7-be72-d102032e1667,"7201050009200100 - DUMMY - 1",7201
6b1d2459-423a-409e-b7b3-23c59523e85a,"7201060008100100 - DUMMY - 1",7201
ef227fa3-de40-49ad-82dc-9df28eb656c4,"7201070018200200 - DUMMY - 1",7201
8bbd6bb8-e7b6-4581-9f0e-8cf216646d05,"7201061014200100 - DUMMY - 1",7201
99eb98f4-6c74-44cf-b3b3-57cf927ca3ba,"7201061015200100 - DUMMY - 1",7201
1fbc0215-3ecd-4ca9-bdd8-1b72b58616dd,"7201070011200100 - DUMMY - 1",7201
c7f300bb-2552-4fa1-8494-47117995ec51,"7201031007100100 - DUMMY - 1",7201
9b89bada-9046-4ec7-be78-842acf0219d4,"7201050014200100 - DUMMY - 1",7201
c19adf05-50ad-4a05-8089-0c180cb9d3e6,"7201050002200100 - DUMMY - 1",7201
