uuid,kode_identitas,kabkot
b48eff3c-f710-4f1c-88b5-843b87ffc7f0,"7201031004000200 - NONBKU - 3",7201
efc4f6c2-3173-490e-849c-d682b08192fa,"7201031004000200 - NONBKU - 2",7201
82f93abc-0901-452f-aea6-563472042931,"7201031004000200 - NONBKU - 1",7201
80f95671-21ab-43a3-af2f-a302f3ca925e,"7201031004000100 - NONBKU - 1",7201
fa867b16-3c12-49d9-ae1a-1b486a512e14,"7201031004000300 - NONBKU - 2",7201
8c3b39ed-3c51-461c-b3ad-a60c5d09f76d,"7201031004000300 - NONBKU - 1",7201
a694f0f3-c81f-4794-bffc-fd97de79474f,"7201031004000300 - NONBKU - 3",7201
10cd5ff5-a2e2-488f-b9fc-c2fbac66e7ab,"7201050010000200 - NONBKU - 1",7201
f126e7b1-28c7-4a34-aa57-1a85bcc7ea40,"7201050010000200 - NONBKU - 2",7201
a486987b-9f66-4d7a-9ecb-6136cd70e217,"7201050010000100 - NONBKU - 2",7201
c1a7d2c2-cf01-4139-ab70-bb81889a3b5c,"7201050010000100 - NONBKU - 3",7201
df6fe708-8f03-4101-9aae-69e177f979ec,"7201050010000100 - NONBKU - 1",7201
13d5b07d-2a6c-4959-a5ad-c4fde3ee1be3,"7201071007000100 - NONBKU - 2",7201
d8a55e08-5f9f-465c-a162-7d28909d1fbc,"7201071007000100 - NONBKU - 1",7201
b62bc23d-1555-4d0c-a9d5-7bbbbb49a27e,"7201071007000100 - NONBKU - 4",7201
b920d1e9-79cd-4ff7-9428-b4081ba9dd76,"7201071007000200 - NONBKU - 4",7201
3e63985d-cb20-4789-9b56-84f6d1c449fb,"7201071007000200 - NONBKU - 1",7201
eca028a8-3da5-417d-bc98-bc2bee645220,"7201071007000200 - NONBKU - 3",7201
62d82d3d-f310-4f89-88b5-499632c4a8d0,"7201071007000200 - NONBKU - 2",7201
4cc80e55-9b31-4a38-a02a-83e6060956ac,"7201071007400100 - NONBKU - 2",7201
1dec3a77-bc8b-4924-be56-bee0fe7d5d85,"7201071007400100 - NONBKU - 1",7201
5a1c9887-167e-4e9f-bc4b-a0fd3247d55e,"7201071007000100 - NONBKU - 3",7201
1637e29d-ef60-4f1e-a69f-6ff4da7f5418,"7201071007000300 - NONBKU - 1",7201
1354725a-446f-4fac-ac7c-26c2fbfaf8a7,"7201071007000300 - NONBKU - 3",7201
097160ab-34fe-416a-9186-1b958cfca5cb,"7201071007000300 - NONBKU - 2",7201
95f9696b-9089-4278-b856-497702aac648,"7201070019000200 - NONBKU - 3",7201
64f39e18-684e-440d-ab6c-6f1ca38659f1,"7201070019000200 - NONBKU - 2",7201
2ae27c94-8f3c-4e80-8580-c882f8d77ca9,"7201070019000200 - NONBKU - 4",7201
a4e5d95c-38cb-405b-ad25-ca0987f9ddf8,"7201070019000200 - NONBKU - 1",7201
6b4ee95a-d8d5-4dea-b33a-95ef065cf808,"7201040012000100 - NONBKU - 1",7201
8b3833cd-a9ed-4348-9e2e-1f89c7287006,"7201040012000800 - NONBKU - 2",7201
80a35b14-40ac-4f01-8979-41d045f8dd69,"7201040012000800 - NONBKU - 1",7201
ee04ec4b-cdcf-4f23-803f-3a14b8c3a8b1,"7201040012000900 - NONBKU - 6",7201
ee0c7b58-3662-4899-a86f-33979c6b4e38,"7201040012000900 - NONBKU - 5",7201
363e98ad-71af-46c1-8db5-e8248de02518,"7201040012000900 - NONBKU - 3",7201
54251aa2-74f4-429e-8cda-0204b16f8cb1,"7201040012000900 - NONBKU - 4",7201
dddfd092-c42c-45be-b0a9-29df51639283,"7201040012000900 - NONBKU - 2",7201
67e14279-dd3b-4963-ab54-7c57457a115d,"7201040012000900 - NONBKU - 1",7201
ca3128f6-c827-4fa2-8872-618fc56da4af,"7201040012100100 - NONBKU - 3",7201
512b443b-ddc8-45a3-be48-fde162ae02a3,"7201040012100100 - NONBKU - 1",7201
16169c9f-0443-420f-b43d-318e6b95a6ca,"7201040012100100 - NONBKU - 2",7201
b991b946-581f-4aad-bee3-3e6f2a234eff,"7201040012000100 - NONBKU - 2",7201
a03c32f7-4489-4483-b4c6-5d0e9a3f14d0,"7201040012001000 - NONBKU - 2",7201
3fbe7a0c-2273-4667-af97-934bd7e9defd,"7201040012001000 - NONBKU - 1",7201
4226b5ab-2fd9-48de-befb-e36ac876141e,"7201051001000300 - NONBKU - 4",7201
20b93bd9-7acb-4b91-a47c-f8dc631ea50d,"7201051001000300 - NONBKU - 1",7201
9fb9f9d6-a851-4685-b97a-833b71e7d941,"7201051001000300 - NONBKU - 2",7201
6b94115a-3001-4b55-a11b-fee7ac430fff,"7201051001000300 - NONBKU - 3",7201
3aadcd00-3de9-4592-9cae-179160d9c1d0,"7201051001000200 - NONBKU - 1",7201
e46d6b7c-d535-4f75-b957-7ecc28b1d12f,"7201051001000100 - NONBKU - 1",7201
1ae2583d-05b7-4046-9cdc-c76eb2dda1bb,"7201060015000200 - NONBKU - 3",7201
49ca4ffa-301b-4175-86d7-1c6c5ed54b47,"7201060015000200 - NONBKU - 1",7201
82df922d-0679-4dfb-a726-6e7033df42bf,"7201060015000200 - NONBKU - 2",7201
5ce3b03d-0488-4c84-9af4-2439ee952eae,"7201060015000200 - NONBKU - 4",7201
7c3ccfab-77bd-417a-be70-ff3bab923aeb,"7201060015000300 - NONBKU - 1",7201
5248df27-c5eb-46a5-9ce1-b4818e953069,"7201062004000300 - NONBKU - 1",7201
291f1b48-b9f1-40c2-acda-1bbc2c7b8fa7,"7201062004000100 - NONBKU - 2",7201
841112d6-3c2e-4134-b9a5-6d5562d4036e,"7201062004000100 - NONBKU - 1",7201
96bb6cc6-5ae7-49e6-af2c-ce86bfd2037a,"7201062004000400 - NONBKU - 2",7201
a3501cde-f971-4c99-9a50-10646ee6f5ae,"7201062004000400 - NONBKU - 1",7201
cfb96801-a0f3-4af1-9743-e5155f954d02,"7201061008000300 - NONBKU - 4",7201
d43731f2-061c-489d-81fc-02abddb1dcc0,"7201061008000300 - NONBKU - 1",7201
4f892b0c-f9d5-4310-a3f5-82d88ec34727,"7201061008000300 - NONBKU - 2",7201
8be56642-1a20-4316-87c4-2c2be5fcba63,"7201061008000200 - NONBKU - 4",7201
e5a3fd5d-9c95-4fae-bd32-1ad36dfbf802,"7201061008000200 - NONBKU - 3",7201
04ed0069-c324-42ca-b5f4-e9db5b97b0dc,"7201061008000200 - NONBKU - 1",7201
b8482f0f-28b6-450a-a43f-ae0bb8d41527,"7201061008000200 - NONBKU - 5",7201
fb10daf2-7496-47d3-8ad8-f2c9129e39b4,"7201061008000200 - NONBKU - 2",7201
56903308-3a71-4898-a612-5d636f6acab7,"7201061008000200 - NONBKU - 6",7201
da332111-98b5-4637-9dc0-a472c9d308bf,"7201061008000200 - NONBKU - 7",7201
48960352-62dc-42af-ba52-e93b4fc407b9,"7201061008000100 - NONBKU - 2",7201
2d481b6f-d3ec-47bb-9a6a-4e6effb56863,"7201061008000100 - NONBKU - 1",7201
b3330acc-bc5c-4770-b457-c967fde279bf,"7201061008000100 - NONBKU - 3",7201
8f924970-b10c-4dfc-a26b-dd29d147b844,"7201061008000300 - NONBKU - 5",7201
26a7490b-0c72-45a7-bb38-dc13ea5773e3,"7201061008000300 - NONBKU - 3",7201
3e996df7-fb52-49fc-a6a9-b464544c04ef,"7201030015000200 - NONBKU - 4",7201
8a774012-a925-4000-9233-0c4c19398760,"7201030015000200 - NONBKU - 3",7201
