uuid,kode_identitas,kabkot
0be2a2e6-6409-4e03-9994-ef0abcd407b6,"7201050008000100 - UMK - 1",7201
218ef897-dfd3-456f-a497-e071943d93bd,"7201050008000300 - UMK - 2",7201
926a5684-9304-401f-98dd-1d9f25a755f2,"7201050008000300 - UMK - 1",7201
6eb6a13c-518f-4c98-9c60-7520a06b0591,"7201050008000300 - UMK - 3",7201
7187e82a-40bd-4872-b5c8-26e3e4da93ce,"7201031004000200 - UMK - 3",7201
17ea0657-a08c-41f1-9642-9229f4d925bf,"7201031004000200 - UMK - 2",7201
f88b4003-42ea-4b96-b717-865c7d2fb8b9,"7201031004000200 - UMK - 1",7201
e2a5ff61-2304-485d-8d75-4b99c5478403,"7201031004100100 - UMK - 2",7201
263889a0-cf70-4e2c-b744-5d8878b78314,"7201031004100100 - UMK - 1",7201
60177de9-7bb8-48bc-8377-4bf8a0ac960e,"7201031004000100 - UMK - 8",7201
0f384268-fee1-4fb3-b1d1-6976e7d4af4f,"7201031004000100 - UMK - 6",7201
181b5435-c2e0-45c0-8b42-3f1222f3bc3e,"7201031004000100 - UMK - 7",7201
1ab4ef15-6164-4ba7-bea4-b0bc0ae1cdb9,"7201031004000100 - UMK - 5",7201
8b33f3b7-3986-4905-9bac-7195de230f36,"7201031004000100 - UMK - 1",7201
56946f0a-0cc9-4a70-90d1-0cef3f8aa355,"7201031004000100 - UMK - 4",7201
f7794c74-62da-4e43-b34a-487592f3f4a5,"7201031004000100 - UMK - 2",7201
6c69b6db-b684-48a8-9a5c-ccd031ec20c4,"7201031004000100 - UMK - 3",7201
cba349a7-8bc2-4b73-a890-1ca4ad83b6b9,"7201031004000300 - UMK - 1",7201
fd05dada-a491-4d9c-a33a-ae3eafb2d331,"7201031004000300 - UMK - 2",7201
6906a399-d95d-4f79-82e1-6b3edcc354a8,"7201050010000200 - UMK - 12",7201
242e96b2-0466-480d-a737-d4436154ac98,"7201050010000200 - UMK - 15",7201
842c5197-7bda-4b65-9f83-21e78b19f97e,"7201050010000200 - UMK - 23",7201
bf2f2066-b083-4ee7-b2e1-854188da4216,"7201050010000200 - UMK - 25",7201
62bea2a3-e145-43d2-b986-ee6bdf546e5d,"7201050010000200 - UMK - 16",7201
b5085ea1-44df-4082-9425-4065911fe005,"7201050010000200 - UMK - 4",7201
c66929c9-2b1c-48a1-b8d7-eb8cc797a084,"7201050010000200 - UMK - 11",7201
26b7bda4-9bc2-43c8-9190-31d8daadb4d4,"7201050010000200 - UMK - 26",7201
807a8c3a-b79f-434d-831c-3892f17426a1,"7201050010000200 - UMK - 1",7201
e0b3fb47-96ec-4fc2-816e-39610f5f9cac,"7201050010000200 - UMK - 18",7201
