uuid,kode_identitas,kabkot
a2b1b381-c29d-43af-862b-6766f4cb416a,"7201031004000200 - UMKM - 1",7201
b8cdfdbf-aba0-46a5-bc5a-884cf9b77f50,"7201031004100100 - UMKM - 1",7201
1dafa9dc-cdfb-41a5-a709-ee31dc6a740f,"7201031004100100 - UMKM - 2",7201
d918be3b-3f46-4b37-b480-8ad946ee2b24,"7201031004000300 - UMKM - 1",7201
8328c7e6-92cb-4921-a03f-afac998366f1,"7201071007000300 - UMKM - 1",7201
bbd3dcc1-9871-4261-8643-82a0f7694a68,"7201070019000200 - UMKM - 1",7201
e189582a-a698-4eba-a7de-77367bac352e,"7201040012000800 - UMKM - 1",7201
e80c1555-e520-41ad-8bf2-d54dc7af3b45,"7201040012000900 - UMKM - 1",7201
1f7de00c-a1c5-4004-bdc3-212e5c62344d,"7201040012100100 - UMKM - 2",7201
48ba4364-4c6d-48a3-a4cc-64ae2fecdfc2,"7201040012100100 - UMKM - 1",7201
0691e6ba-b027-4aec-a4b6-0326913032ed,"7201040012001000 - UMKM - 1",7201
0d3cd6d8-1b42-42df-9282-c29f01296224,"7201051001000100 - UMKM - 1",7201
13449115-cc16-4e7b-9063-e4536a899415,"7201061008000200 - UMKM - 1",7201
fa7f506f-cc90-4a3b-8055-df5511cf7947,"7201061008000100 - UMKM - 1",7201
5ab5a4b0-c73a-49e2-a964-47d3ed72be25,"7201061008000300 - UMKM - 1",7201
5147653d-6d14-4646-82dd-bbd3f66828a4,"7201030015000300 - UMKM - 1",7201
bcaa4608-f25d-4577-b4f2-06b9deb9183b,"7201070013000300 - UMKM - 2",7201
7a22c239-504f-471a-9795-ff49041e5a4f,"7201070013000300 - UMKM - 1",7201
010d08a2-4da2-44cb-b305-1edf08f94e70,"7201070013000100 - UMKM - 3",7201
c97cde9f-e5da-4d0b-8515-615ab6bbedc3,"7201070013000100 - UMKM - 1",7201
178adab3-4630-4e69-a62c-e8637c607bbb,"7201070013000100 - UMKM - 2",7201
5e68cb64-c287-4fda-a97d-ba1bd0d4196d,"7201070013000200 - UMKM - 1",7201
9c87ec0f-6b8d-4686-a2df-ec2633f7aa22,"7201042001000800 - UMKM - 2",7201
1b40bae0-c85f-4856-80e2-2ee735625fe8,"7201042001000800 - UMKM - 1",7201
4981d5b9-da73-4ab6-95ec-f4d275950e92,"7201042001000300 - UMKM - 1",7201
a3f88853-468f-4b41-96a2-c6d0260288e1,"7201042001000100 - UMKM - 1",7201
de44cd4d-e8a9-428a-ad73-7ff0e714a13e,"7201042001000700 - UMKM - 1",7201
cf1a29b4-fced-4b16-94f1-35fea89e50ca,"7201060010000300 - UMKM - 1",7201
5c2a0fe1-87db-452a-a9cb-cc5fbedfdb3f,"7201060010000200 - UMKM - 1",7201
5672c7d6-4755-4446-8c8f-b51a4ef8f00a,"7201060010000400 - UMKM - 1",7201
35d0ab23-c8c8-48a7-8874-c49902385d5f,"7201060010000100 - UMKM - 1",7201
f8f816d5-f34b-4792-9432-968dc087339a,"7201071002000400 - UMKM - 1",7201
ef7f6309-24e4-40df-b818-f0cfc89d4614,"7201031001000300 - UMKM - 1",7201
e43d5183-7ec9-4a56-9dac-e4c80abe6e79,"7201031001000100 - UMKM - 2",7201
ddfe3685-54b8-4219-8a0f-b8adce6e3551,"7201031001000100 - UMKM - 1",7201
667352a2-7f35-4074-bcc7-c83e379cd9c1,"7201031001000200 - UMKM - 1",7201
ccc38e8b-7ea8-4eee-8fa4-b0040a8d53df,"7201051005200100 - UMKM - 2",7201
26bf6f7f-4c70-4380-a0f7-efa87937a4bd,"7201051005200100 - UMKM - 1",7201
39983cef-affd-4a8d-853f-b492555acb9d,"7201051005000500 - UMKM - 1",7201
c6abcc92-7f07-45ac-8fdf-176f67767dc1,"7201051005000300 - UMKM - 1",7201
5fcbf0c4-98c0-46db-80d2-eea6eb78f47d,"7201051005000300 - UMKM - 2",7201
9c76c777-19fb-4973-8ad6-4666a4bfba28,"7201051005000400 - UMKM - 1",7201
9151cd0a-4785-47e7-993f-05ae8bd3fcea,"7201051005000400 - UMKM - 2",7201
1a152a09-64c4-4cfd-983c-2b90193c3c60,"7201051005000200 - UMKM - 1",7201
19d72124-ce32-435c-a64e-f91192895723,"7201051005000200 - UMKM - 3",7201
97855b06-a3dc-4428-94d3-9e9d4687ac53,"7201051005000200 - UMKM - 2",7201
7f989a18-e180-46a2-8135-4b31fd3f45bd,"7201051005000200 - UMKM - 4",7201
9fc5dac2-46fe-4b44-9f4d-82bdf2a9d913,"7201042005000200 - UMKM - 1",7201
38961ec9-4cbf-4917-a406-c2deaa7e01d6,"7201042005000600 - UMKM - 1",7201
43746d42-bfdf-41c3-b93f-7e1c450cb81e,"7201050006000500 - UMKM - 1",7201
cdb3907d-7107-4278-9be5-1d42ffe781fb,"7201050006000700 - UMKM - 1",7201
